,quality_score,view_certificate_1,view_certificate_2,Cupping Protocol and Descriptors,View Green Analysis Details,Request a Sample,Species,Owner,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner.1,Variety,Status,Processing Method,NA,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,NA.1,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,NA.2,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA.3,Expiration,Certification Body,Certification Address,Certification Contact,Unnamed: 51,Notes,Export Date
0,90.58,,,,,,Arabica,metad plc,Ethiopia,METAD PLC,,METAD PLC,2014/2015,METAD Agricultural Developmet plc,1950-2200,GUJI-HAMBELA/GOYO,METAD PLC,300.0,60,METAD Agricultural Development plc,2014,2015-04-04,metad plc,,Completed,Washed / Wet,Sample,8.67,8.83,8.67,8.75,8.5,8.42,Sample,10.0,10.0,10.0,8.75,Sample  90.58,,0.12,0,0.0,Green,0,,2016-04-03,METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",,,2015-06-13
7,88.67,,,,,,Arabica,Ethiopia Commodity Exchange,Ethiopia,Aolme,,C.P.W.E,010/0338,,1570-1700,Oromia,Bazen Agricultural & Industrial Dev't Plc,300.0,60,Ethiopia Commodity Exchange,March 2010,2010-09-02,Ethiopia Commodity Exchange,,Completed,,Sample,8.25,8.33,8.5,8.42,8.33,8.5,Sample,10.0,10.0,9.33,9.0,Sample  88.67,,0.03,0,0.0,,0,,2011-09-02,Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,,2010-10-20
9,88.25,,,,,,Arabica,Diamond Enterprise Plc,Ethiopia,Tulla Coffee Farm,,Tulla Coffee Farm,2014/15,DIAMOND ENTERPRISE PLC,1795-1850,"SNNP/Kaffa Zone,GimboWereda",Diamond Enterprise Plc,50.0,60,METAD Agricultural Development plc,2014,2015-03-30,Diamond Enterprise Plc,Other,Completed,Natural / Dry,Sample,8.08,8.58,8.5,8.5,7.67,8.42,Sample,10.0,10.0,10.0,8.5,Sample  88.25,,0.1,0,0.0,Green,4,,2016-03-29,METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",,,2015-04-07
17,87.33,,,,,,Arabica,Ethiopia Commodity Exchange,Ethiopia,,,,010/0056,,,Yirgacheffe,Green Gold Ethiopia | Phone: 0114342032,150.0,6,Ethiopia Commodity Exchange,2009/2010,2010-06-16,Ethiopia Commodity Exchange,,Completed,,Sample,8.17,8.33,8.25,8.33,8.42,8.33,Sample,9.33,10.0,9.33,8.83,Sample  87.33,,0.05,0,0.0,,2,,2011-06-16,Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,,2010-11-07
19,87.25,,,,,,Arabica,EssenceCoffee,Ethiopia,Drima Zede,,Drima Zede,100181006,Essence Coffee,1700-2000m,Gedio,LevelUp,250.0,60,Blossom Valley International,2014,2015-03-25,EssenceCoffee,Ethiopian Yirgacheffe,Completed,Natural / Dry,Sample,8.17,8.17,8.0,8.17,8.08,8.33,Sample,10.0,10.0,10.0,8.33,Sample  87.25,,0.0,0,0.0,,8,,2016-03-24,Blossom Valley International,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen - +886-4-23022323,,,2015-09-20
21,87.17,,,,,,Arabica,The Coffee Source Inc.,Costa Rica,SEVERAL,,CAFE DE ALTURA SAN RAMON,5-562-0015,The Coffee Source Inc.,1300 MSNM,SAN RAMON,SEVERAL,250.0,1.361,Specialty Coffee Association,2014,2014-04-02,The Coffee Source Inc.,Caturra,Completed,Washed / Wet,Sample,8.08,8.25,8.0,8.17,8.0,8.33,Sample,10.0,10.0,10.0,8.33,Sample  87.17,,0.11,0,0.0,Green,2,,2015-04-02,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2014-04-19
22,87.17,,,,,,Arabica,ROBERTO LICONA FRANCO,Mexico,LA HERRADURA,,LA HERRADURA,0,,1320,XALAPA,ROBERTO LICONA FRANCO,14.0,1,AMECAFE,2012,2012-07-26,ROBERTO LICONA FRANCO,Other,Completed,Washed / Wet,Sample,8.17,8.25,8.17,8.0,7.83,8.17,Sample,10.0,10.0,10.0,8.58,Sample  87.17,,0.13,0,0.0,Green,0,,2013-07-26,AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,,,2013-01-10
25,86.92,,,,,,Arabica,NUCOFFEE,Brazil,Fazenda Kaquend,,,002/1251/0073,NUCOFFEE,1250m,South of Minas,Ralph Junqueira,3.0,60,NUCOFFEE,2011,2011-12-03,NUCOFFEE,Bourbon,Completed,Natural / Dry,Sample,8.5,8.5,8.0,8.0,8.0,8.0,Sample,10.0,10.0,10.0,7.92,Sample  86.92,,0.12,0,0.0,Green,2,,2012-12-02,NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,,,2012-03-01
26,86.92,,,,,,Arabica,Ethiopia Commodity Exchange,Ethiopia,,,,010/0056/Sidamo,,,Sidamo,Green Gold Ethiopia | Phone: 0114342032,150.0,6,Ethiopia Commodity Exchange,2009/2010,2010-06-16,Ethiopia Commodity Exchange,,Completed,,Sample,7.83,8.25,8.08,8.17,8.17,8.17,Sample,10.0,10.0,10.0,8.25,Sample  86.92,,0.05,0,0.0,,2,,2011-06-16,Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,,2010-11-10
30,86.58,,,,,,Arabica,Nora Zeas,Nicaragua,,,Beneficio Atlantic Condega,790-0013,,,,,275.0,6,Specialty Coffee Association,,2010-05-18,Nora Zeas,,Completed,,Sample,7.92,8.25,8.0,8.33,8.0,8.08,Sample,10.0,10.0,10.0,8.0,Sample  86.58,,0.08,0,0.0,,2,,2011-05-18,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2010-09-03
