,quality_score,view_certificate_1,view_certificate_2,Cupping Protocol and Descriptors,View Green Analysis Details,Request a Sample,Species,Owner,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner.1,Variety,Status,Processing Method,NA,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,NA.1,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,NA.2,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA.3,Expiration,Certification Body,Certification Address,Certification Contact,Unnamed: 51,Notes,Export Date
28,86.67,,,,,,Arabica,Bismarck Castro,Honduras,Los Hicaques,102,CIGRAH S.A. DE C.V.,13-111-053,CIGRAH S.A DE C.V,1400,Comayagua,Reinerio Zepeda,275.0,69,Instituto Hondureño del Café,2016,2017-05-18,Bismarck Castro,Caturra,Completed,,Sample,8.17,8.08,8.08,8.0,8.08,8.0,Sample,10.0,10.0,10.0,8.25,Sample  86.67,,0.1,0,0.0,Green,3,,2018-05-18,Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,,,2018-03-02
59,85.75,,,,,,Arabica,SEID DAMTEW COFFEE PLANATAION,Ethiopia,seid damtew coffee export and plantation,320,seid damtew coffee export and plantation,490,Seid Damtew Coffee Planation,,addis ababa,seid damtew coffee export and plantation,320.0,19200,METAD Agricultural Development plc,2017,2017-06-23,SEID DAMTEW COFFEE PLANATAION,Caturra,Completed,Natural / Dry,Sample,7.83,8.0,7.83,8.17,7.92,8.0,Sample,10.0,10.0,10.0,8.0,Sample  85.75,,0.09,0,4.0,None,7,,2018-06-23,METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",,,2017-08-30
83,85.25,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,LA ESPERANZA Y ANEXOS,11/23/0177,BENEFICIO IXCHEL,11/23/0177,"UNEX GUATEMALA, S.A.",,ORIENTE,MARGARITA AVILA DE NUYENS,250.0,69,Asociacion Nacional Del Café,2016,2016-04-27,Juan Luis Alvarado Romero,Bourbon,Completed,,Sample,8.0,7.92,7.75,8.0,7.92,7.83,Sample,10.0,10.0,10.0,7.83,Sample  85.25,,0.1,0,2.0,Green,2,,2017-04-27,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2017-03-01
88,85.08,,,,,,Arabica,SEID DAMTEW COFFEE PLANATAION,Ethiopia,SEID DAMTEW COFFEE PLANATION,,At site and Addis Ababa,495,Seid Damtew Coffee Planation,,"Kefa Zone, Gimbo Distict, at a place called Woka Araba, South West Ethiopia.",SEID DAMTEW COFFEE PLANATION,320.0,19200,METAD Agricultural Development plc,2016,2016-08-09,SEID DAMTEW COFFEE PLANATAION,Other,Completed,Natural / Dry,Sample,7.75,8.0,7.58,8.0,8.0,7.92,Sample,10.0,10.0,10.0,7.83,Sample  85.08,,0.11,0,1.0,Green,8,,2017-08-09,METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",,,2017-02-12
97,85,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,3-37-1829,Bachue,3-37-1829,Racafe & Cia S.C.A,,Huila,La Plata,135.0,70,Almacafé,2016,2017-02-15,Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,Sample,8.0,7.92,7.75,7.92,7.75,7.83,Sample,10.0,10.0,10.0,7.83,Sample  85.00,,0.0,0,0.0,Green,3,,2018-02-15,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2017-07-20
106,84.92,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,3-37-0277,Bachue,3-37-0277,Racafe & Cia S.C.A,,Huila,La Plata,243.0,70,Almacafé,2016,2016-11-25,Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,Sample,7.92,7.92,7.67,7.83,7.92,7.83,Sample,10.0,10.0,10.0,7.83,Sample  84.92,,0.0,1,6.0,,2,,2017-11-25,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2017-08-14
125,84.67,,,,,,Arabica,Consejo Salvadoreño del Café,El Salvador,Monterrey,1971-01-01 00:00:00,J.J. Borja Nathan,09-392-69,Cafetalera del Pacifico,1350,Apaneca,J.J. Borja Nathan,150.0,69,Salvadoran Coffee Council,2016,2017-06-26,Consejo Salvadoreño del Café,Bourbon,Completed,Washed / Wet,Sample,7.83,7.83,7.5,8.0,7.83,7.67,Sample,10.0,10.0,10.0,8.0,Sample  84.67,,0.0,0,0.0,Blue-Green,2,,2018-06-26,Salvadoran Coffee Council,"Final 1a. Av. Norte y 13 Calle Pte., dentro de las instalaciones del MAG",Tomas Bonilla - (503) 2505-6600,,,2017-07-09
128,84.67,,,,,,Arabica,Rodrigo Soto,Costa Rica,Rio Jorco,Tarrazu,Rio Jorco,5-423-0128,Panamerican Coffee Trading,1150,Tarrazu,Johanna,15.0,69,Specialty Coffee Association of Costa Rica,2015,2016-10-04,Rodrigo Soto,Catuai,Completed,Washed / Wet,Sample,8.08,7.75,7.67,7.83,7.5,7.92,Sample,10.0,10.0,10.0,7.92,Sample  84.67,,0.1,0,0.0,Blue-Green,2,,2017-10-04,Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,,,2017-03-21
145,84.58,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,3-37-1724,Bucaramanga,3-37-1724,Racafe & Cia S.C.A,1500,Santander,,250.0,70,Almacafé,2016,2017-01-10,Racafe & Cia S.C.A,Other,Completed,Washed / Wet,Sample,7.83,7.67,7.58,7.92,7.67,7.83,Sample,10.0,10.0,10.0,8.08,Sample  84.58,,0.0,0,0.0,Blue-Green,4,,2018-01-10,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2017-08-24
146,84.58,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,3-37-1291,Bachue,3-37-1291,Racafe & Cia S.C.A,,Huila,La Plata,125.0,70,Almacafé,2016,2016-12-28,Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,Sample,7.92,7.83,7.58,8.0,7.83,7.67,Sample,10.0,10.0,10.0,7.75,Sample  84.58,,0.0,0,1.0,Green,5,,2017-12-28,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2017-05-31
